name,cpf,age,birthday,address,state,country
Asafe Pires,752.486.093-56,20,1983-12-16,"Residencial Beatriz Vasconcelos, 6
Monte São José
31971896 Abreu de Aparecida / AC",Roraima,Bielorrússia
Enrico Pereira,579.123.840-14,20,1985-08-23,"Sítio Benicio Teixeira, 70
Santa Efigênia
29833520 Rios Paulista / GO",Espírito Santo,Uganda
Léo Camargo,402.916.538-98,28,1989-09-04,"Chácara da Cunha, 46
Universo
25130328 Rocha do Campo / MS",Mato Grosso,Mongólia
Valentina Farias,754.261.839-37,25,1996-04-28,"Avenida Vargas, 7
Vila Madre Gertrudes 1ª Seção
99308737 Freitas / RN",Ceará,Finlândia
Ana Beatriz Gomes,531.478.629-09,58,1997-01-28,"Alameda das Neves, 74
Satelite
79000-763 Moraes do Sul / AC",Espírito Santo,Polinésia Francesa
Heloísa Nogueira,675.812.304-90,34,1976-11-26,"Setor Henry Martins, 94
Minas Caixa
71311-061 Aragão / RS",Rio Grande do Sul,Níger
Jade Rios,068.927.513-77,37,1998-02-28,"Travessa Manuela Almeida
Apolonia
34663-692 Carvalho de Gonçalves / RR",Amazonas,Brunei
Isaac Fonseca,728.930.654-65,42,1982-09-29,"Quadra de Vieira, 19
Itapoa
46665956 Barbosa / MT",Goiás,Uganda
Liam Pires,857.124.096-58,34,1991-03-10,"Alameda Heloisa Fonseca, 2
Coração De Jesus
08961047 Mendonça / GO",Amapá,Ilhas Salomão
Maysa Pinto,541.270.638-07,39,1973-05-21,"Recanto Luiz Otávio Novaes, 22
Eymard
98332892 Souza Paulista / PA",Minas Gerais,Ilhas Virgens Britânicas
Henry Gabriel Pacheco,127.948.605-85,19,1972-06-03,"Via de Alves, 955
Betânia
05328930 Câmara do Amparo / RJ",Amapá,Ilha Norfolk
Luiz Henrique Albuquerque,257.014.693-52,42,1996-08-09,"Lago Allana Cassiano, 6
Glória
14244592 Vargas / AP",Pará,Chipre
Mariana Machado,896.273.105-30,37,1966-12-19,"Loteamento Benjamim Garcia, 63
Custodinha
76271-248 Castro de Pastor / MA",Mato Grosso do Sul,Malta
Bruno Barros,593.761.042-34,29,1985-11-22,"Estrada Caldeira, 2
Urca
42688857 Dias / PI",Espírito Santo,Bahamas
Srta. Ana Luiza Ferreira,036.192.857-21,23,1965-08-06,"Praça Anna Liz Almeida, 90
Juliana
25747208 Silveira da Serra / TO",Piauí,Samoa Americana
Nicole Azevedo,671.954.320-25,49,2004-06-14,"Condomínio Gabriela Moreira
Saudade
19629-107 da Cunha de da Paz / RS",Maranhão,Espanha
Antony Sá,687.932.051-12,46,1996-01-08,"Conjunto de Farias, 15
Nova Gameleira
20344485 Câmara de Goiás / MT",Pernambuco,Bermudas
Leonardo Duarte,470.189.635-75,22,2001-02-09,"Vila de Caldeira
Vila Barragem Santa Lúcia
67141-618 da Rocha / RO",Amazonas,Jibuti
Pedro Miguel das Neves,957.143.628-37,60,1998-02-28,"Distrito Cunha, 93
Buraco Quente
27919-175 Campos / MS",Minas Gerais,Síria
Natália Ribeiro,481.029.375-05,24,1988-12-11,"Ladeira Gabriela Duarte, 2
Suzana
53956814 Rios / GO",Sergipe,Congo-Kinshasa
Guilherme Sampaio,716.543.290-61,44,1982-08-07,"Trevo de Porto
Vila Puc
27757-276 Campos de Câmara / MG",Mato Grosso do Sul,Nepal
Cauê Cirino,470.385.219-50,51,1982-10-16,"Quadra Lucas da Conceição, 3
Mariano De Abreu
60731564 da Conceição / ES",Distrito Federal,Antilhas Holandesas
Amanda Câmara,786.134.092-96,44,2002-05-31,"Chácara Costa
Fernão Dias
38212075 Novaes da Prata / SC",Mato Grosso do Sul,Barein
Caroline Novais,082.634.915-33,24,2003-10-11,"Área Bianca Fogaça
Frei Leopoldo
87128408 Montenegro / PA",Minas Gerais,Benim
Valentina Melo,907.254.136-70,28,1989-03-06,"Trevo Daniel Barros, 9
Alto Caiçaras
40279-262 Pacheco Grande / PA",Pernambuco,Camboja
Antonella Andrade,930.274.561-99,39,1991-02-08,"Recanto de Andrade, 72
Vila Inestan
51856-996 Gonçalves / PR",Paraná,Porto Rico
Eduarda Freitas,147.382.056-17,30,1997-05-09,"Setor de Novaes, 727
Vila Madre Gertrudes 3ª Seção
99153-280 Correia da Mata / AC",Pará,Fiji
Juan Pimenta,953.860.721-02,38,1989-06-04,"Núcleo Rhavi Lopes, 82
Taquaril
15206304 Nogueira de Barros / MT",Amazonas,Canadá
Ravy Vieira,398.156.402-24,34,2004-08-09,"Vale de da Mota
Vila Batik
09663-531 Souza Verde / MG",Roraima,São Vicente e Granadinas
Eloá Nascimento,972.083.614-87,45,1967-06-19,"Residencial de Siqueira, 30
Nova Pampulha
82843973 Pinto / RS",São Paulo,Angola
Ester da Cruz,023.841.769-78,51,1969-02-24,"Recanto Sales, 68
Tupi B
51730418 Aragão Alegre / PB",Mato Grosso,Omã
Emanuelly Pacheco,397.864.215-82,25,2001-10-07,"Vale Cunha, 3
Prado
37872-739 Moura Paulista / GO",Pernambuco,Navassa Island
Bruna da Conceição,268.197.540-94,60,1980-09-22,"Núcleo de Castro
Mariquinhas
64491842 Vargas do Amparo / TO",Rondônia,Sérvia
Gustavo Henrique Sousa,962.703.145-34,57,2006-04-10,"Quadra Borges, 8
Funcionários
22014847 Vargas de Goiás / TO",Rio Grande do Sul,Egito
Dra. Julia Albuquerque,582.460.397-92,34,1974-06-08,"Recanto Maya Castro
Aeroporto
73383-784 Pires de Borges / SE",São Paulo,Usbequistão
Bruno Macedo,976.285.341-55,60,1966-01-25,"Recanto Cirino, 8
Colégio Batista
24859-447 Campos de Minas / PE",Amapá,Mônaco
Sr. Francisco Correia,319.420.765-25,36,1992-12-07,"Estação de Abreu
Nova Granada
71319837 Borges de Ferreira / AC",Rio de Janeiro,Eritreia
Daniela Aparecida,138.925.406-24,51,1970-07-07,"Lagoa Arthur Miguel Moreira, 55
Fernão Dias
52024127 Lima de Goiás / TO",Roraima,Mônaco
Lavínia Costa,862.071.534-80,45,1988-07-04,"Residencial da Cruz
Santa Branca
07695-370 da Rosa do Campo / AP",Santa Catarina,Jibuti
João Guilherme Vieira,430.721.685-71,25,1999-04-07,"Travessa da Conceição, 8
Santa Lúcia
25173-084 Camargo / BA",Acre,Bolívia
Luigi Cirino,652.079.413-99,22,2003-09-19,"Condomínio de da Rocha, 28
Apolonia
84224-163 Campos / MG",Piauí,Taiwan
Ana Cecília da Cunha,132.590.768-59,51,1968-10-18,"Passarela de Fogaça, 92
Gameleira
23786-066 Cunha de Goiás / AM",Maranhão,Trindade e Tobago
Eduarda Sampaio,358.247.691-09,51,2006-07-24,"Feira Fernandes, 1
Providencia
36567223 Costa / MS",Alagoas,Ilhas Virgens Britânicas
Alexandre Sá,329.864.751-91,18,1983-07-20,"Área Aurora Nascimento, 11
Vila Formosa
93717293 Santos / MT",Pernambuco,Coreia do Norte
Sr. Anthony Marques,584.129.063-06,41,1987-10-25,"Feira de da Cruz, 9
Vila Betânia
07451-508 Ramos Alegre / AP",Goiás,Etiópia
Clara Cavalcante,782.413.065-71,47,1966-02-13,"Largo Moreira, 87
Vila Real 2ª Seção
76506-265 Monteiro / RS",Piauí,Brunei
Emanuella Pimenta,389.157.204-23,31,1980-02-27,"Colônia Helena Nunes, 8
Ouro Preto
90796403 Pereira de Azevedo / ES",Maranhão,Honduras
Pedro Henrique Fogaça,253.469.087-65,59,1996-07-04,"Praça Nathan Pastor, 39
Vila Novo São Lucas
11277-900 da Conceição / RN",Minas Gerais,Papua-Nova Guiné
Aylla Guerra,169.384.750-75,31,1966-06-11,"Viaduto de Fonseca, 85
Copacabana
74310147 Rios / PA",Goiás,Navassa Island
Lorenzo Silveira,327.460.195-07,19,1982-07-07,"Alameda de Sousa, 43
Juliana
96761-306 Rodrigues Paulista / SC",Bahia,Ilhas Heard e McDonald
Sra. Bruna Araújo,280.679.413-78,47,1979-10-19,"Via de Gomes, 18
Vila Cloris
57283217 Gonçalves dos Dourados / MS",Goiás,Taiwan
Marcela Moraes,697.548.021-49,49,1984-05-28,"Estrada Davi Lucas Costa
Vila Esplanada
21542076 Rocha / PE",Rondônia,Suazilândia
Thales Teixeira,314.968.725-09,22,1980-08-30,"Vereda Novaes
Senhor Dos Passos
59376318 Araújo de Ribeiro / TO",Tocantins,Burquina Faso
Isadora Farias,042.157.869-67,50,1965-11-20,"Condomínio Rodrigues, 926
São José
15996-745 Costa de Goiás / PR",Maranhão,Guam
Stella Fonseca,540.673.921-25,25,1974-11-03,"Passarela João Vitor Farias
São Geraldo
72487-518 Mendonça de Siqueira / PI",Paraíba,Quênia
Erick Cavalcanti,473.598.062-83,30,1996-01-04,"Pátio Rios, 8
Renascença
06541758 Mendes / PB",Espírito Santo,Ilhas Turcas e Caicos
Beatriz da Cruz,137.620.985-30,58,1973-10-22,"Morro de Carvalho, 74
Pirineus
45317-600 Garcia dos Dourados / SP",Rio Grande do Sul,Equador
Luiz Fernando da Luz,081.952.736-02,58,1998-08-24,"Via de Camargo, 31
Belvedere
30161720 Câmara Grande / PA",Pernambuco,Ilhas Salomão
Sr. Gustavo Henrique da Mota,394.861.520-98,39,1984-04-06,"Viaduto de Machado
Belvedere
58766638 Ferreira dos Dourados / PR",Piauí,Dinamarca
Sophie Alves,187.540.269-11,33,1990-05-29,"Recanto Apollo Barbosa, 6
Renascença
15768-383 Câmara / RR",Mato Grosso,Rússia
Dr. Gabriel Marques,390.576.481-48,38,1966-06-21,"Rodovia de Aparecida, 1
Vila Paris
18747-256 Pacheco das Pedras / CE",Maranhão,Moldávia
Ana Vitória da Conceição,236.078.149-96,29,1986-08-01,"Alameda João Pedro Cavalcanti, 37
Vila Califórnia
37422022 Fernandes / SE",Santa Catarina,Jamaica
Elisa Novais,684.153.290-24,24,1987-02-18,"Viela Pietro Camargo, 16
Inconfidência
16337-603 Lopes / MG",Paraíba,Croácia
Emilly da Rocha,459.238.061-42,41,1991-08-25,"Trecho de Castro, 35
Conjunto Bonsucesso
85660995 Rocha / RS",Paraná,Bósnia e Herzegovina
Cecilia Caldeira,312.740.859-50,28,1976-02-24,"Estação Emilly Peixoto, 97
João Paulo Ii
50707-803 Mendonça Paulista / TO",Pernambuco,Peru
Sr. Nicolas Abreu,413.596.087-10,44,1972-05-24,"Esplanada Lorenzo Casa Grande, 71
Vila Santo Antônio
50380208 Castro / AL",Paraíba,Chipre
Nina Cavalcante,239.146.875-09,49,1983-10-06,"Área Alves, 31
Coração Eucarístico
87269-589 Sampaio / RN",Acre,Costa do Marfim
Nicole Aragão,468.579.210-67,44,1984-01-30,"Travessa da Rocha, 1
Minas Brasil
78982457 Sales / PB",Pernambuco,Costa do Marfim
Joana da Paz,753.640.918-48,53,1968-12-25,"Jardim Lorenzo Nogueira, 5
Vila São João Batista
11959843 Almeida / GO",Sergipe,Moldávia
Isaac Cirino,354.806.719-01,56,2007-04-01,"Estação Leonardo Novais, 56
Esplanada
18113734 Costela das Pedras / MG",Ceará,Libéria
Ana Luiza Jesus,280.749.136-78,32,1972-07-14,"Passarela Pimenta
Cônego Pinheiro 1ª Seção
48762-621 Fonseca / GO",Alagoas,Costa do Marfim
Clarice Leão,094.618.532-89,27,1969-01-01,"Rua Luana da Rosa, 4
Vila Maloca
62586-577 Oliveira dos Dourados / MA",Distrito Federal,Ilhas Salomão
Sr. Bruno Moreira,768.514.329-19,23,2000-05-16,"Vila de Dias, 87
Havaí
56927-625 Pinto / MA",Acre,Nova Zelândia
Lucas Gabriel Montenegro,614.935.278-19,40,1997-06-01,"Trecho Pacheco, 46
Pousada Santo Antonio
37460279 Teixeira / MT",Santa Catarina,Dhekelia
Guilherme Melo,796.082.345-65,48,2004-03-31,"Conjunto Lara da Luz, 4
Vila Nova Gameleira 2ª Seção
02662-565 Melo das Flores / SE",Rondônia,Laos
Enzo Peixoto,236.184.059-60,47,1964-12-14,"Chácara Sabrina Vargas, 39
Cidade Jardim
72161-816 Cunha / RN",Alagoas,Ashmore and Cartier Islands
Ravy Cardoso,148.760.532-35,47,2006-08-30,"Trecho Paulo Nunes, 37
São Cristóvão
24995623 Cassiano das Pedras / CE",Rio Grande do Norte,Quênia
Camila Peixoto,651.294.370-80,57,1969-09-27,"Passarela João Guilherme Nascimento, 42
Taquaril
34556814 Oliveira dos Dourados / MG",Sergipe,Coreia do Sul
Gabriela Campos,719.256.804-01,55,1994-11-13,"Loteamento Davi Barbosa, 92
Vila Nova Cachoeirinha 2ª Seção
25332-670 Souza do Campo / AC",Pará,Palau
Olívia Ramos,834.675.102-80,27,1974-12-01,"Condomínio Casa Grande, 5
Ademar Maldonado
83193-765 Dias de Almeida / AL",Maranhão,Bósnia e Herzegovina
Bernardo Rocha,148.357.062-26,44,1975-11-14,"Praça Laís Vieira, 182
Santa Sofia
60628-989 Silveira do Campo / SC",Rio Grande do Sul,Zâmbia
Henry Oliveira,758.941.632-00,37,1973-02-01,"Praça de Rodrigues, 92
Itatiaia
98075-137 Nunes da Serra / AL",Paraíba,Ucrânia
Dra. Emilly da Mata,581.403.729-60,49,1979-05-15,"Avenida Rezende, 188
Parque São Pedro
31261-919 Lopes / RO",Alagoas,Paquistão
Sr. Fernando Teixeira,013.872.594-23,39,1976-06-09,"Lagoa de Silveira, 30
Oeste
86632980 Nogueira de Teixeira / PR",Rio de Janeiro,Akrotiri
Sr. Diego Nascimento,780.914.632-78,27,1977-02-08,"Área Clara Monteiro, 21
Santa Isabel
01017153 Andrade / RN",Rio de Janeiro,Sri Lanka
Isabel Nascimento,703.169.528-77,26,1995-11-10,"Vale Olivia Pacheco, 9
Vila Puc
15366785 Montenegro da Praia / AP",Sergipe,Sara Ocidental
Vitor Vargas,310.658.742-35,24,2005-09-02,"Favela de Montenegro
Maria Virgínia
87172-658 Porto / BA",Acre,Albânia
Yuri Barros,629.785.341-09,29,1990-07-04,"Jardim Souza, 94
Universitário
79873-234 da Rosa de Mendes / RR",Bahia,Austrália
Sra. Cecília Duarte,159.278.360-03,57,1978-04-21,"Viaduto Benicio Cunha, 99
Vila São João Batista
92258-232 Barros / PA",Maranhão,Mali
Luiz Henrique das Neves,698.254.703-56,49,1983-04-21,"Passarela Rebeca Novais, 809
Alto Vera Cruz
55739113 Azevedo / MG",Mato Grosso do Sul,Comores
Cecilia Moraes,194.803.657-66,23,2004-02-12,"Praia de Fonseca, 15
Trevo
87600-574 Moreira Alegre / MA",Amazonas,México
Maria Sophia Costela,576.392.041-43,52,1981-12-24,"Largo de Costela
Xodo-Marize
40573892 Fonseca / RN",Espírito Santo,Nicarágua
Marina Aragão,345.961.028-05,24,1969-10-23,"Distrito Matheus Novaes, 4
Marilandia
33009195 Vargas / MT",Rondônia,Paquistão
Dr. Thiago Guerra,953.861.742-82,22,2004-04-10,"Quadra Mirella Farias, 30
Estoril
87367807 Gomes / ES",Santa Catarina,Ilhas Virgens Britânicas
Cauê Cardoso,024.317.958-88,34,1974-02-19,"Vale de Cavalcante, 83
Pirineus
18828-192 Sampaio / PA",Pernambuco,Somália
Manuella Pires,905.764.283-29,49,1998-07-07,"Colônia Garcia
São José
96740171 Carvalho do Oeste / RS",Sergipe,Singapura
Sr. Theo Cassiano,065.729.138-21,33,1979-11-21,"Distrito de Andrade
Santo Antônio
90847894 Pereira / AM",Bahia,Jibuti
Maria Alice Rezende,486.731.029-87,59,1964-09-12,"Chácara Araújo, 39
Pindura Saia
29982255 Nascimento / PA",Distrito Federal,Ilhas Heard e McDonald
Rodrigo Nunes,162.479.358-46,56,1965-01-09,"Parque Pires, 34
São José
99555-253 Souza das Flores / DF",Roraima,Canadá
Lara da Paz,802.571.694-58,26,2006-05-20,"Núcleo de Farias, 94
Nossa Senhora De Fátima
51425-553 Ramos das Pedras / SC",Distrito Federal,Quirguizistão
Emilly Castro,465.173.892-37,37,1972-02-21,"Vila de Carvalho, 36
Santa Terezinha
40847846 Pastor / MT",Alagoas,Honduras
Aurora Duarte,859.410.267-49,41,1967-03-30,"Estação de Correia, 10
Belvedere
69238074 Sousa Verde / PR",Maranhão,Aruba
Fernando Sampaio,360.794.152-16,46,1985-10-05,"Viela de Vieira, 60
Cidade Nova
48298-377 Barros / BA",Goiás,Ilhas Turcas e Caicos
Henry Gabriel Cardoso,419.382.507-88,19,2005-08-14,"Travessa Monteiro, 56
Vila Nossa Senhora Do Rosário
34983860 Almeida / PI",Rio Grande do Norte,Andorra
Gael Caldeira,958.213.467-46,22,1975-09-14,"Sítio Lopes, 58
Vila Paraíso
01632490 Aragão do Sul / AL",Mato Grosso,Portugal
Aylla Sales,743.915.028-79,54,2000-01-03,"Feira de Guerra, 6
Vila Canto Do Sabiá
02975-423 Lima / RN",Maranhão,Quênia
Alana Correia,259.380.716-40,28,2006-05-16,"Estação Sophie Castro, 4
Bandeirantes
76031-181 Costa / PA",Maranhão,São Pedro e Miquelon
Rafael Martins,168.042.975-20,33,1964-05-24,"Morro de Peixoto, 79
Ipe
71242-063 Albuquerque de Barbosa / BA",Bahia,Colômbia
Ravi Lucca Oliveira,806.924.571-94,60,1998-03-04,"Colônia Mendonça, 50
Jonas Veiga
36593-323 Almeida / AP",Acre,Dhekelia
Caroline Guerra,498.513.607-75,25,1970-02-19,"Alameda de Cassiano, 64
Alto Das Antenas
19250504 Gomes Verde / MS",Mato Grosso,Finlândia
Benício Gomes,063.521.748-17,47,1969-10-31,"Vila de Aparecida
Pousada Santo Antonio
47256752 Caldeira / MA",Maranhão,Samoa
Yasmin Novaes,349.762.581-73,34,1977-04-14,"Esplanada de Gonçalves, 19
Vera Cruz
81615-584 Costela / CE",Mato Grosso do Sul,Islândia
Bruno da Conceição,309.241.867-04,50,2003-03-24,"Chácara Liz Cavalcante
Barão Homem De Melo 3ª Seção
45378-713 Mendes / ES",Paraná,Congo-Brazzaville
Mariane Aragão,645.971.238-73,31,1968-11-25,"Travessa Cauã Casa Grande, 9
Satelite
51675-070 Pinto / BA",Rio Grande do Norte,Haiti
Heloisa Camargo,318.049.762-96,20,1990-11-11,"Condomínio Maria Liz Porto, 548
Aarão Reis
76515-912 Fernandes do Campo / CE",Rio Grande do Norte,Lesoto
Enrico Moreira,287.314.950-79,60,1979-03-16,"Travessa Ribeiro, 7
Vila Petropolis
43228-418 Alves de Lopes / MS",São Paulo,Guam
Sarah Leão,673.925.410-99,31,1981-12-27,"Rua de Novais, 684
Conjunto Santa Maria
96772-455 Araújo de Brito / GO",Mato Grosso do Sul,Barbados
Ayla Pinto,942.865.370-56,34,1978-12-08,"Campo Cavalcante, 7
Caetano Furquim
49481-174 Melo / PA",Rio Grande do Norte,Filipinas
Emanuel Vargas,214.395.086-15,23,1988-04-12,"Quadra Lucas Moura, 73
Suzana
74199-368 Nunes / SE",Mato Grosso,Mauritânia
Alícia da Mata,127.853.049-50,22,1993-07-04,"Distrito Zoe Gonçalves, 11
Apolonia
45971-800 Teixeira de Minas / CE",Tocantins,Portugal
Daniela Pires,942.081.367-31,59,1970-06-06,"Conjunto da Mota, 2
Savassi
58500335 Santos / AM",Goiás,Burquina Faso
Alícia Ramos,690.452.371-99,34,2003-12-28,"Trecho Jade Cunha, 781
Vila Maloca
19791206 Peixoto / MG",Rio de Janeiro,Palau
Marcela Rezende,531.604.829-60,22,1991-09-10,"Aeroporto Abreu, 8
Nossa Senhora Da Conceição
65582726 Porto / DF",Tocantins,Coreia do Norte
Sr. Breno Aragão,490.153.682-60,55,1982-05-18,"Quadra de Aparecida, 47
Vila Inestan
70915-756 Gonçalves / PB",Pará,Marianas do Norte
Murilo Melo,278.359.016-68,46,2004-10-12,"Loteamento Jesus, 49
Bernadete
29352999 Brito / AM",Rio Grande do Sul,Nauru
Nicolas Pacheco,324.198.057-04,36,1982-03-08,"Sítio de da Cruz, 11
Aguas Claras
21301-265 Vargas / TO",Rio Grande do Sul,Armênia
Maria Vitória Fonseca,723.540.819-79,18,1999-10-23,"Núcleo Vicente Garcia, 40
Flamengo
26652727 Cardoso / SP",Bahia,Filipinas
Felipe Mendes,058.123.947-41,48,1989-10-18,"Travessa de Moraes, 50
Centro
49220586 Vieira / RO",Maranhão,Suécia
Raul Aparecida,893.615.274-28,34,1977-07-08,"Sítio Sá, 756
Planalto
99940359 Pastor / TO",Santa Catarina,Salvador
Henry Gabriel da Cruz,963.108.725-59,33,1986-09-15,"Jardim de Ramos, 37
Conjunto Santa Maria
28572131 Macedo da Prata / PI",Pernambuco,Ilhas Virgens Britânicas
Ester Pereira,567.894.213-19,42,1969-06-08,"Feira das Neves, 93
Pirineus
22903-332 Dias de Goiás / SE",Rio Grande do Norte,Svalbard e Jan Mayen
Maria Eduarda Cavalcanti,594.186.270-94,34,1998-08-28,"Vereda de Leão, 515
Vila Nova Cachoeirinha 1ª Seção
38934-104 Caldeira Alegre / GO",Roraima,Nauru
Dr. Paulo da Conceição,183.654.092-24,27,2001-12-10,"Quadra de Peixoto
Álvaro Camargos
34920-119 Pinto / MS",Paraná,Antígua e Barbuda
Sra. Hadassa Cardoso,859.027.341-50,28,1971-07-30,"Lago da Rosa
Nova Gameleira
86520660 Aparecida / MT",Tocantins,Clipperton Island
Levi Cavalcanti,194.568.370-84,30,1976-08-02,"Chácara Cassiano, 80
João Paulo Ii
73020-112 Costa do Sul / SE",Pará,Macedônia do Norte
Sr. Benicio Guerra,879.640.235-00,46,2006-02-02,"Setor de Rezende, 66
Serra Verde
57115033 Abreu / PI",Rondônia,Bielorrússia
Miguel Novaes,106.548.273-62,59,2002-03-02,"Parque de Camargo, 59
Fernão Dias
99342434 Melo do Amparo / AM",Mato Grosso,Rússia
Renan Abreu,482.975.360-92,28,1994-09-18,"Via Fonseca, 77
Marajó
91715763 Alves Grande / RO",Alagoas,Tonga
Lucca Almeida,706.321.859-02,49,1990-12-24,"Alameda Cauê Nascimento, 57
São Jorge 1ª Seção
32090490 Macedo / TO",Rio de Janeiro,Dinamarca
Camila Costela,123.685.490-05,35,1977-11-16,"Rua Martins, 92
Monte Azul
38958-751 Costa de Minas / AM",Paraná,Ilhas Caiman
Ana Lívia Oliveira,103.928.746-87,27,1981-07-11,"Viela de Almeida, 87
Piraja
03367-985 Lopes / CE",Rio Grande do Sul,Turquemenistão
Gustavo Henrique Caldeira,591.763.284-73,45,1971-06-02,"Viela de Teixeira, 8
Camponesa 2ª Seção
27448-198 Campos da Mata / PB",Paraíba,Equador
Danilo Ribeiro,810.594.736-66,60,1991-05-08,"Feira de Peixoto, 195
Vila Piratininga Venda Nova
22831-759 Monteiro / RJ",Amazonas,Laos
Sr. Vinicius Oliveira,340.761.528-08,60,1976-10-24,"Lago de Costa, 8
Vila Mangueiras
05547511 Ramos / DF",Piauí,México
Maria Vitória Pastor,256.307.419-34,30,1989-01-16,"Conjunto de Machado, 65
Dona Clara
73255244 Sá da Mata / GO",Pernambuco,Burundi
Anthony Gabriel Siqueira,486.530.297-29,34,1995-04-08,"Jardim Cavalcante
Garças
76022139 Abreu Grande / PR",Mato Grosso,Granada
Theo Silva,532.684.710-80,41,1997-12-01,"Praia de Pimenta, 40
Vila São João Batista
22948408 Jesus das Flores / GO",Santa Catarina,Zâmbia
Emilly Pastor,169.048.532-98,49,1986-01-02,"Largo Yuri Fonseca, 72
Belvedere
91506050 Gonçalves / MS",Paraíba,Kuwait
Benício Albuquerque,395.826.140-05,49,1983-09-09,"Alameda Henrique Novais, 93
Aarão Reis
10778495 Ribeiro / BA",Rio de Janeiro,Estados Unidos
Isabelly Mendonça,617.842.590-20,55,1977-07-22,"Largo Nascimento, 80
Palmeiras
39396495 Freitas / RR",Rondônia,Santa Lúcia
Anna Liz Moreira,794.206.138-87,27,2007-04-28,"Largo Sarah da Rosa, 66
Vila Da Amizade
96937832 Carvalho / RS",Pará,Croácia
Asafe Mendes,540.861.732-71,55,1971-11-10,"Rua Ribeiro, 56
Caiçara - Adelaide
87770589 Pastor / SE",Acre,Eritreia
Matteo Camargo,249.713.056-61,39,1974-01-20,"Área Rodrigues, 34
Alta Tensão 1ª Seção
14358-422 Cassiano do Oeste / RR",São Paulo,Iran
João Gabriel Pacheco,314.027.865-90,45,2001-01-16,"Vila Marques, 44
Nazare
02772604 Ribeiro / RN",Amazonas,Zâmbia
Brenda Viana,138.940.657-10,24,1985-03-19,"Estação Vasconcelos, 45
Vila Ecológica
27833-150 Gomes / RJ",Alagoas,Israel
Luigi Ramos,057.462.198-94,26,1991-06-01,"Estação Caio Pimenta, 26
Vila Pilar
89282-767 Cavalcanti / SE",Amazonas,Moldávia
Kaique Abreu,061.428.357-44,32,1969-05-27,"Campo de Silveira, 49
Ademar Maldonado
97041-621 Barros / MT",Amapá,Malásia
Kaique Fonseca,604.879.513-01,20,2003-08-28,"Travessa de Fogaça, 50
Jardinópolis
37486-730 Lopes / AL",Goiás,Canadá
Elisa Moreira,482.193.750-60,45,1992-09-19,"Viela de Cavalcante
Nova America
14283889 Cavalcanti de Moraes / CE",Pará,Brasil
Bruna Silveira,152.489.036-70,35,2001-07-22,"Jardim Jesus, 20
Jardim Atlântico
54447295 Santos / RN",Paraíba,Tuvalu
Diogo Costela,738.694.105-66,43,1995-08-04,"Pátio Thiago Fernandes
São Jorge 2ª Seção
16609-302 Barros do Amparo / PA",Goiás,Cuba
Asafe Barbosa,170.869.253-30,26,1992-03-04,"Parque Costela, 8
Universo
80953-952 Souza / PR",Paraná,Samoa
Maria Vitória Martins,109.384.265-24,39,1986-12-12,"Passarela de da Cruz, 2
Santa Rita De Cássia
20327-918 Cassiano / ES",Acre,Marianas do Norte
Mathias Farias,071.653.482-71,29,2000-07-24,"Conjunto Câmara, 28
Vila Copasa
84858987 Albuquerque / AM",Bahia,Groenlândia
Henrique Mendes,072.468.931-13,35,1987-10-31,"Alameda Beatriz Pinto, 16
Vila Coqueiral
86382-052 Brito / RR",Santa Catarina,Antígua e Barbuda
Ayla Santos,192.765.804-76,36,1977-09-24,"Avenida Manuella Gonçalves, 52
Marieta 1ª Seção
89396968 Dias de Nunes / BA",Paraná,Turquia
Rebeca Albuquerque,307.258.649-74,38,1996-09-12,"Via Evelyn Porto, 798
Vila Cloris
38410-928 Azevedo da Serra / MT",Espírito Santo,China
Emanuella Silveira,785.014.263-26,27,1965-02-20,"Travessa Vitor Gabriel Sousa, 33
Rio Branco
64388-644 Sá do Sul / RN",Distrito Federal,Somália
Enzo Gabriel da Paz,108.724.396-31,33,1972-11-16,"Viela Fernandes, 74
Engenho Nogueira
73610930 Barbosa / MA",Distrito Federal,Costa do Marfim
Emanuelly Nascimento,216.857.903-21,49,2003-04-09,"Travessa Farias, 65
Outro
51426671 Pimenta Alegre / MA",Pará,Mali
João Lucas Mendonça,395.871.026-30,38,2007-02-07,"Aeroporto Ana Cecília Araújo
Biquinhas
11215-522 Guerra / AM",Bahia,Singapura
Theodoro Teixeira,165.948.207-02,28,1997-12-09,"Praça Cavalcanti, 90
Conjunto Paulo Vi
31772-489 Brito / AP",Espírito Santo,Guiana
Isaac Pinto,491.673.058-57,48,1972-05-26,"Esplanada Ian Teixeira, 30
Califórnia
48976918 da Cunha do Sul / TO",Rondônia,Pitcairn
Sr. Lorenzo Siqueira,134.860.257-08,46,1987-05-07,"Alameda Machado, 49
Vila Independencia 3ª Seção
42774761 Cavalcante das Flores / TO",São Paulo,Noruega
Ravi Vieira,462.371.509-43,46,1991-07-23,"Área Novaes, 6
Independência
36334381 Aragão / RR",Espírito Santo,Guiana
Francisco da Cruz,034.912.568-60,60,1993-10-05,"Favela José Miguel Castro, 25
Buraco Quente
23035126 da Cruz Paulista / ES",Piauí,Alemanha
Maria Júlia Lima,016.475.329-06,21,1980-02-13,"Sítio Raul Costa, 2
Marçola
68849-282 Barbosa do Sul / AP",Roraima,Bermudas
